10,1,0.001,539,527,570
10,1,0.003,540,527,555
10,1,0.005,539,527,555
10,2,0.001,539,527,560
10,2,0.003,540,527,560
10,2,0.005,539,527,555
10,3,0.001,540,527,555
10,3,0.003,539,527,555
10,3,0.005,540,527,555
10,4,0.001,541,527,560
10,4,0.003,539,527,560
10,4,0.005,538,527,555
10,5,0.001,539,527,560
10,5,0.003,539,527,555
10,5,0.005,538,527,560
12,1,0.001,539,527,560
12,1,0.003,537,527,555
12,1,0.005,540,527,555
12,2,0.001,539,527,555
12,2,0.003,538,527,555
12,2,0.005,538,527,555
12,3,0.001,538,527,555
12,3,0.003,539,527,563
12,3,0.005,539,527,555
12,4,0.001,538,527,555
12,4,0.003,539,527,573
12,4,0.005,539,527,560
12,5,0.001,539,527,560
12,5,0.003,540,527,555
12,5,0.005,541,527,570
14,1,0.001,541,527,570
14,1,0.003,537,527,556
14,1,0.005,541,527,563
14,2,0.001,538,527,555
14,2,0.003,539,527,560
14,2,0.005,539,527,555
14,3,0.001,540,527,570
14,3,0.003,539,527,555
14,3,0.005,538,527,555
14,4,0.001,539,527,560
14,4,0.003,540,527,556
14,4,0.005,541,527,555
14,5,0.001,538,527,555
14,5,0.003,539,527,563
14,5,0.005,540,527,555
16,1,0.001,539,527,555
16,1,0.003,538,527,565
16,1,0.005,539,527,555
16,2,0.001,539,527,555
16,2,0.003,538,527,560
16,2,0.005,539,527,570
16,3,0.001,539,527,555
16,3,0.003,538,527,555
16,3,0.005,539,527,563
16,4,0.001,540,527,563
16,4,0.003,540,527,560
16,4,0.005,536,527,560
16,5,0.001,539,527,555
16,5,0.003,538,527,555
16,5,0.005,538,527,555
18,1,0.001,538,527,570
18,1,0.003,539,527,555
18,1,0.005,539,527,560
18,2,0.001,539,527,565
18,2,0.003,537,527,563
18,2,0.005,539,527,555
18,3,0.001,538,527,555
18,3,0.003,537,527,563
18,3,0.005,540,527,566
18,4,0.001,539,527,570
18,4,0.003,539,527,555
18,4,0.005,538,527,563
18,5,0.001,539,527,565
18,5,0.003,539,527,560
18,5,0.005,539,527,560
20,1,0.001,538,527,555
20,1,0.003,538,527,555
20,1,0.005,538,527,570
20,2,0.001,538,527,555
20,2,0.003,538,527,555
20,2,0.005,539,527,555
20,3,0.001,539,527,560
20,3,0.003,538,527,555
20,3,0.005,537,527,563
20,4,0.001,538,527,555
20,4,0.003,538,527,555
20,4,0.005,537,527,560
20,5,0.001,541,527,563
20,5,0.003,538,527,555
20,5,0.005,538,527,555
