s1,s1,zA,s15,s16,s17,s2,
s2,s2,zB,s1,s17,s18,s20,s3,
s3,s3,zE,s2,s20,s22,s4,
s4,s4,zD,s3,s22,s23,s25,s5,
s5,s5,zC,s4,s25,
s6,s6,zA,s25,s26,s27,s28,s7,
s7,s7,zB,s8,s6,s28,s9,
s8,s8,zE,s7,
s9,s9,zD,s7,s28,s10,
s10,s10,zC,s9,s28,s11,
s11,s11,zA,s10,s28,s12,s13,
s12,s12,zB,s11,s13,
s13,s13,zC,s12,s28,s14,s11,
s14,s14,zD,s13,s28,s27,
s15,s15,zE,s1,s16,s31,s30,
s16,s16,zB,s1,s15,s31,s17,
s17,s17,zC,s1,s16,s31,s32,s18,s2,
s18,s18,zA,s2,s17,s32,s33,s81,s21,s20,s19,
s19,s19,zE,s18,
s20,s20,zD,s2,s18,s21,s22,s3,
s21,s21,zB,s20,s18,s81,s23,s22,
s22,s22,zA,s3,s20,s21,s23,s4,
s23,s23,zC,s4,s22,s21,s81,s24,s25,
s24,s24,zE,s23,s81,s36,s37,s38,s25,
s25,s25,zB,s5,s4,s23,s24,s38,s26,s6,
s81,s81,zD,s23,s21,s18,s33,s35,s36,s37,s24,
s26,s26,zC,s25,s38,s29,s27,s6,
s27,s27,zB,s6,s26,s29,s14,s28,
s28,s28,zE,s6,s27,s7,s9,s10,s11,s13,s14,s27,
s29,s29,zA,s26,s27,
s30,s30,zD,s15,s31,s39,s48,s31,
s31,s31,zA,s15,s16,s17,s30,s39,s40,s41,s32,
s32,s32,zE,s17,s18,s33,s34,s31,s41,
s33,s33,zC,s18,s81,s32,s34,s35,
s34,s34,zD,s32,s33,s35,s41,
s35,s35,zA,s33,s34,s36,s41,s42,s43,s81,s40,
s36,s36,zB,s24,s35,s37,s43,s45,s81,
s37,s37,zC,s24,s36,s38,s45,s81,
s38,s38,zD,s24,s25,s26,s37,s45,s46,s47,
s39,s39,zE,s30,s31,s40,s49,s50,
s40,s40,zB,s31,s35,s39,s41,s42,s50,s44,s51,s52,
s41,s41,zC,s31,s32,s34,s35,s40,
s42,s42,zE,s35,s43,s40,s44,
s43,s43,zD,s35,s36,s42,s44,s45,
s44,s44,zA,s42,s40,s43,s45,s46,s52,s47,s53,
s45,s45,zE,s36,s37,s38,s43,s44,s46,
s46,s46,zB,s44,s38,s45,s47,
s47,s47,zC,s38,s44,s46,s53,s57,
s48,s48,zA,s30,
s49,s49,zD,s39,s50,s54,
s50,s50,zA,s39,s40,s49,s51,s55,s54,s56,
s51,s51,zC,s40,s50,s52,s53,s56,
s52,s52,zD,s40,s44,s51,s53,
s53,s53,zB,s51,s44,s47,s52,s57,s56,
s54,s54,zE,s49,s50,s55,s60,
s55,s55,zB,s54,s50,s56,s58,s62,s60,s61,
s56,s56,zD,s50,s51,s53,s57,s58,s59,s55,
s57,s57,zA,s47,s53,s56,s59,
s58,s58,zE,s55,s56,s59,s61,s62,
s59,s59,zC,s56,s57,s58,
s60,s60,zA,s54,s55,s61,s64,s67,s68,s70,s69,
s61,s61,zC,s55,s58,s62,s63,s64,s60,
s62,s62,zD,s58,s55,s61,s63,
s63,s63,zE,s61,s62,s64,s65,
s64,s64,zB,s61,s63,s65,s66,s67,s60,
s65,s65,zA,s63,s64,s66,
s66,s66,zC,s64,s65,s67,s68,
s67,s67,zD,s60,s64,s66,s68,
s68,s68,zB,s60,s67,s66,s70,s77,
s69,s69,zE,s60,s70,s76,s71,s73,s74,s75,
s70,s70,zC,s60,s68,s69,s76,s77,
s71,s71,zA,s69,s72,s73,
s72,s72,zB,s71,s73,
s73,s73,zD,s69,s71,s72,s74,
s74,s74,zA,s69,s73,s75,s78,s79,s80,
s75,s75,zB,s69,s74,s76,s78,
s76,s76,zD,s69,s70,s75,s77,
s77,s77,zE,s68,s70,s76,
s78,s78,zC,s75,s74,
s79,s79,zE,s74,
s80,s80,zB,s74,
