<function sigmoidal_temperature at 0x7fc02d620d08>,978,969,969,971,974,980,970,978,973,974,974,992,972,965,974,976,977,972,971,975,971,979,1001,976,977,990,980,971,978,977,978,978,996,994,975,980,974,977,966,981,974,975,967,981,976,982,978,973,977,979,984,978,981,978,972,974,967,973,990,975,972,994,991,976,978,980,977,978,972,978,976,978,979,976,984,981,976,974,971,974,978,984,975,969,978,973,976,991,977,979,970,982,976,997,970,971,969,991,978,976,
<function sigmoidal_temperature_2 at 0x7fc02d620d90>,979,976,984,994,976,972,971,976,974,981,974,982,972,976,978,995,970,998,982,969,983,978,981,979,972,973,975,977,972,979,976,981,972,971,976,969,976,982,973,970,978,978,980,983,978,967,971,967,974,975,972,974,975,969,974,974,970,995,978,979,974,967,977,978,972,975,971,975,993,982,978,973,969,978,972,992,975,969,975,977,973,974,973,978,981,983,990,977,981,987,966,974,977,978,980,977,982,971,975,977,
<function sigmoidal_temperature_3 at 0x7fc02d620e18>,974,972,974,968,1000,992,970,982,976,983,970,976,973,974,976,976,974,972,970,970,979,974,970,976,974,971,976,974,978,973,979,972,967,974,972,971,998,974,976,976,976,974,976,976,972,976,975,978,967,981,977,970,977,972,981,979,974,969,982,979,976,973,972,976,967,981,980,978,975,975,978,971,971,976,975,979,975,998,979,975,972,973,973,971,970,977,980,974,977,971,980,974,971,973,974,979,976,998,983,978,
<function double_sigmoidal_temperature at 0x7fc02d620ea0>,979,977,971,977,973,973,976,976,971,979,977,976,970,983,976,979,970,970,977,972,984,974,976,979,979,981,972,971,975,976,971,973,975,974,972,974,976,976,973,993,979,976,974,977,978,971,977,979,974,979,979,974,978,974,982,978,975,973,970,977,977,974,975,978,982,977,975,975,973,982,993,978,971,978,983,991,976,979,968,977,971,976,971,978,969,967,983,973,977,981,973,979,974,980,976,981,968,974,976,972,
<function sinus_double_sigmoidal_temperature at 0x7fc02d62c0d0>,974,974,971,972,986,975,975,982,975,982,975,976,968,976,977,966,966,976,972,980,975,980,980,975,991,979,982,969,973,979,972,968,979,973,976,975,977,966,974,972,974,982,977,974,974,982,971,975,976,989,972,980,977,973,998,975,978,974,970,975,973,980,968,983,975,967,986,970,983,974,977,972,992,967,971,977,973,968,977,977,985,976,967,969,980,975,974,972,978,975,973,976,967,976,984,981,980,977,975,979,
<function sinus_temperature at 0x7fc02d62c158>,973,977,973,974,979,972,977,972,993,975,976,976,977,981,982,968,967,971,981,980,977,973,977,969,970,972,980,991,992,973,978,987,979,976,971,974,983,966,977,975,978,983,995,976,978,978,991,973,1006,980,999,995,978,974,974,972,975,987,979,975,978,979,984,985,986,974,980,974,977,971,972,977,979,983,981,967,966,977,976,973,977,979,982,995,977,976,979,979,973,979,973,977,979,978,978,992,976,974,978,969,
<function linear_temperature at 0x7fc02d620c80>,980,973,973,978,981,971,968,969,981,970,992,976,976,967,972,975,966,978,975,979,971,975,973,978,976,968,990,971,968,970,977,980,975,982,969,980,972,969,974,967,979,969,973,985,971,978,976,975,972,978,976,974,972,975,976,976,969,972,973,978,984,973,975,976,980,974,966,975,979,977,982,969,975,974,973,982,973,978,981,969,971,973,978,975,978,976,970,975,979,980,981,976,980,975,978,977,975,975,993,977,
<function sinus_linear_temperature at 0x7fc02d62c048>,974,974,977,981,973,980,972,970,974,978,977,979,977,974,978,975,976,974,980,971,989,975,973,974,972,975,977,975,975,990,971,975,976,974,975,970,979,970,971,974,975,966,971,988,979,981,972,978,978,975,976,972,971,971,976,967,975,981,978,975,975,969,975,975,973,976,979,974,974,976,969,973,991,968,981,976,970,981,981,966,973,970,983,970,978,998,976,982,983,983,979,979,973,975,967,977,982,979,970,973,
