10	1	0.001	539	527	555	28									
10	1	0.01	540	527	555	28			10	1	0.01	540	527	555	28
10	1	0.1	539	527	559	32			10	1	0.1	539	527	559	32
10	3	0.001	540	527	573	46			10	3	0.001	540	527	573	46
10	3	0.01	537	527	558	31			10	3	0.01	537	527	558	31
10	3	0.1	539	527	565	38			10	3	0.1	539	527	565	38
10	5	0.001	544	527	575	48			10	5	0.001	544	527	575	48
10	5	0.01	542	527	573	46			10	5	0.01	542	527	573	46
10	5	0.1	545	527	575	48			10	5	0.1	545	527	575	48
15	1	0.001	538	527	555	28						540,75	527	566,625	39,625
15	1	0.01	539	527	555	28			15	1	0.001	538	527	555	28
15	1	0.1	539	527	556	29			15	1	0.01	539	527	555	28
15	3	0.001	539	527	569	42			15	1	0.1	539	527	556	29
15	3	0.01	542	527	565	38			15	3	0.001	539	527	569	42
15	3	0.1	539	527	556	29			15	3	0.01	542	527	565	38
15	5	0.001	543	524	577	53			15	3	0.1	539	527	556	29
15	5	0.01	542	527	573	46			15	5	0.001	543	524	577	53
15	5	0.1	542	527	570	43			15	5	0.01	542	527	573	46
20	1	0.001	539	527	556	29			15	5	0.1	542	527	570	43
20	1	0.01	537	527	555	28						540,625	526,625	565,125	38,5
20	1	0.1	538	527	555	28			20	1	0.001	539	527	556	29
20	3	0.001	539	527	565	38			20	1	0.01	537	527	555	28
20	3	0.01	539	527	564	37			20	1	0.1	538	527	555	28
20	3	0.1	538	527	556	29			20	3	0.001	539	527	565	38
20	5	0.001	544	527	574	47			20	3	0.01	539	527	564	37
20	5	0.01	542	527	571	44			20	3	0.1	538	527	556	29
20	5	0.1	540	527	565	38			20	5	0.001	544	527	574	47
			540,1481481	526,8888889	563,8888889	37			20	5	0.01	542	527	571	44
									20	5	0.1	540	527	565	38
												539,625	527	563,125	36,125
